2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
2024-06-03 15:59:12,032 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/iceRowInfo/add, Method: post, Response Code: 200, Response Body: {'code': 1001, 'msg': '冰排设备编码【testcold1】已存在,操作失败'}, Request Data: {'isEnable': 1, 'workStatus': 10, 'equipmentCode': 'testcold1', 'equipmentName': 'testddata', 'iceRowCategoryId': '1764825015063040', 'coldStorageDuration': 0.1, 'releaseColdDuration': 0.1, 'releaseColdDurationMax': None, 'weight': None, 'innerLength': None, 'innerWidth': None, 'innerHeight': None, 'innerVolume': None, 'externalLength': None, 'externalWidth': None, 'externalHeight': None, 'externalVolume': None, 'factoryModel': None, 'phaseTransitionTemperature': None, 'rfid': 'test2', 'imageList': []}
